id;titulo;conteudo;resumo;data_publicacao;autor;ativo;imagem;imagem_content_type
1;phooey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-26T17:53:33;where;true;../fake-data/blob/hipster.png;image/png
2;thatX;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-27T12:06:56;same lag lest;true;../fake-data/blob/hipster.png;image/png
3;nervous;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-27T12:09:14;freely cloister homely;false;../fake-data/blob/hipster.png;image/png
4;who into oof;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-27T02:16:29;forenenst that wholly;false;../fake-data/blob/hipster.png;image/png
5;ready peak;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-27T03:53:51;raw outside hence;true;../fake-data/blob/hipster.png;image/png
6;psst why;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-27T10:12:34;furthermore composed tremendously;true;../fake-data/blob/hipster.png;image/png
7;theXX;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-27T13:18:02;uh-huh and;false;../fake-data/blob/hipster.png;image/png
8;impish rubbery outshine;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-26T21:50:38;save;false;../fake-data/blob/hipster.png;image/png
9;park sheet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-26T22:05:12;inasmuch;true;../fake-data/blob/hipster.png;image/png
10;sadXX;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-08-26T14:41:19;round furthermore whose;false;../fake-data/blob/hipster.png;image/png
